20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ransom_lockbit_citrixbleed_nov23.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ransom_vicesociety_dec22.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_reaver_sunorcal.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_rehashed_rat.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_report_ivanti_mandiant_jan24.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_revenge_rat.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_rocketkitten_keylogger.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_rokrat.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_royalroad.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ru_crywiper.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ruag.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_rwmc_powershell_creddump.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_sakula.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_sandworm_centreon.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_sandworm_cyclops_blink.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_sandworm_exim_expl.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_saudi_aramco_phish.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_scanbox_deeppanda.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_scarcruft.yar
